Comment Ratio
87.18
33.77
13.33
39.47
22.12
28.26
86.8
32.46
93.09
20.47
80.61
73.71
21.26
0.0
27.63
53.57
80.0
65.22
69.17
45.1
27.87
55.38
28.57
20.18
57.75
21.5
79.31
84.15
23.61
78.85
23.08
182.62
21.25
89.66
69.62
10.53
29.39
73.77
82.93
44.23
31.03
36.52
39.74
25.0
106.48
73.53
58.09
48.42
31.82
60.36
73.08
75.82
51.22
40.28
46.56
94.81
39.06
45.15
27.0
869.05
23.21
57.59
62.2
107.93
34.18
40.34
80.2
50.38
63.43
59.82
106.48
112.04
83.18
84.44
22.45
68.82
70.92
48.74
32.84
50.49
20.77
59.46
27.59
58.82
28.95
45.37
103.67
23.08
78.9
73.72
106.48
51.62
69.0
77.84
49.04
73.91
77.16
64.94
78.21
32.76
59.97
36.09
869.05
97.06
44.76
22.66
49.21
68.92
30.84
24.49
48.78
56.88
106.48
105.14
85.92
78.21
20.2
78.21
60.29
45.63
21.21
40.77
82.95
5.56
66.67
63.62
42.5
22.8
54.68
70.4
106.48
33.93
72.5
59.12
79.66
36.84
57.14
50.0
97.06
52.17
30.95
96.67
55.11
20.0
55.56
23.08
76.25
26.67
31.25
90.83
86.67
73.5
19.43
68.83
37.5
45.45
68.24
106.48
43.02
29.17
14.29
75.28
23.21
221.28
32.7
41.2
28.48
106.48
82.91
26.67
35.64
56.34
54.43
63.17
77.78
57.24
55.4
107.34
18.75
92.49
61.84
83.54
57.89
41.12
93.09
60.17
97.06
33.33
87.14
35.53
39.29
31.82
25.21
76.64
76.75
106.48
33.59
81.2
73.68
66.88
106.48
28.16
53.88
26.67
60.34
23.62
27.18
26.82
16.42
151.85
20.11
25.81
31.65
30.95
16.42
74.63
29.02
235.78
61.39
30.95
49.55
59.3
102.78
0.0
71.46
62.2
63.59
33.73
50.88
83.54
82.86
75.0
26.92
27.27
12.31
81.43
25.64
59.9
106.48
65.57
70.82
82.91
100.0
58.06
19.57
54.42
95.14
47.09
34.52
63.16
66.84
83.9
42.59
33.33
47.01
70.38
40.51
31.58
38.59
59.08
30.56
48.82
16.67
28.95
35.75
82.68
29.93
78.21
54.58
25.0
63.89
28.95
40.8
28.79
11.06
58.69
30.95
61.4
50.38
48.59
42.7
51.31
73.99
68.61
21.95
44.82
46.3
99.22
78.63
69.12
30.95
27.11
106.42
101.74
93.09
33.91
96.67
42.66
58.75
106.48
82.2
250.46
16.67
16.67
40.6
68.49
35.42
27.14
77.65
21.25
24.39
18.69
38.43
13.33
106.48
14.29
48.0
64.94
43.06
68.7
88.27
24.63
93.09
37.14
75.82
40.64
60.17
72.64
23.64
59.69
46.81
71.1
97.06
58.83
26.98
869.05
85.0
101.35
68.57
88.49
96.3
17.39
52.98
